CAMPO,DESCRIPCION,LONGITUD,TIPO_DATO,RANGO_VALIDO,METADATOS
P7_24_3,"7.24 ¿Cuál ha sido el medio de entrega por el que ha obtenido las compras que realizó en Internet?
Entrega en el punto de venta o distribución",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_24_4,"7.24 ¿Cuál ha sido el medio de entrega por el que ha obtenido las compras que realizó en Internet?
Entrega en línea mediante descargas (aplicaciones, música, película, libros, servicios, etc.)",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_24_5,"7.24 ¿Cuál ha sido el medio de entrega por el que ha obtenido las compras que realizó en Internet?
Otro medio",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_24A,"7.24 ¿Cuál ha sido el medio de entrega por el que ha obtenido las compras que realizó en Internet?
Otro medio Especifique",100,Varchar2 ,[A-Z],
P7_25,"7.25 En los últimos 12 meses, ¿tuvo algún problema al realizar las compras?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_26_1,"7.26 ¿El problema que tuvo fue…
 relacionado con la entrega?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_26_2,"7.26 ¿El problema que tuvo fue…
 con la seguridad del pago?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_26_3,"7.26 ¿El problema que tuvo fue con…
 la seguridad de los datos personales?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_26_4,"7.26 ¿El problema que tuvo fue con…
relacionado con la calidad del producto?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_26_5,"7.26 ¿El problema que tuvo fue con…
relacionado con el estado del producto?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_26_6,"7.26 ¿El problema que tuvo fue…
 Otro Problema?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_26A,"7.26 ¿El problema que tuvo fue… 
Otro problema Especifique",100,Varchar2 ,[A-Z],
P7_27,"7.27 En los últimos 12 meses, ¿ha realizado pagos por Internet, ya sea por compras o algún servicio?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_28,7.28 ¿Por qué no ha realizado pagos por Internet?,1,Varchar2 ,[1-8],"1 Prefiere realizarlo en persona, 2 No le interesa o no lo necesita, 3 Desconfía de la seguridad del proceso de pago (privacidad de los datos, robo de identidad de los datos de la tarjeta), 4 No cuenta con tarjeta de crédito, débito o servicios de Banca en línea, 5 No sabe hacerlo, 6 No le permiten realizarlo, 7 No se considera con la edad suficiente para hacerlo, 8 Otra razón"
P7_28A,"7.28 ¿Por qué no ha realizado pagos por Internet? 
Otra razón Especifique",100,Varchar2 ,[A-Z],
P7_29,7.29 Generalmente ¿con qué frecuencia ha realizado pagos por Internet?,1,Varchar2 ,[1-6],"1 Diario (7 días a la semana), 2 Al menos una vez a la semana, 3 Una vez cada quince días, 4 Una vez al mes, 5 Al menos una vez cada seis meses, 6 Al menos una vez al año"
P7_30_1,"7.30 En los últimos 12 meses los pagos que ha realizado por Internet, ¿ha sido por…
 servicios bancarios o financieros?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_30_2,"7.30 En los últimos 12 meses los pagos que ha realizado por Internet, ¿ha sido por…
 servicios o trámites de gobierno?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_30_3,"7.30 En los últimos 12 meses los pagos que ha realizado por Internet, ¿ha sido por…
 servicios educativos?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_30_4,"7.30 En los últimos 12 meses los pagos que ha realizado por Internet, ¿ha sido por…
 bienes o servicios para el hogar?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_30_5,"7.30 En los últimos 12 meses los pagos que ha realizado por Internet, ¿ha sido por…
 bienes o servicios personales?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_30_6,"7.30 En los últimos 12 meses los pagos que ha realizado por Internet, ¿ha sido por…
 otros pagos?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_30A,"7.30 En los últimos 12 meses los pagos que ha realizado por Internet, ¿ha sido por… 
Otros pagos Especifique",100,Varchar2 ,[A_Z],
P7_31_1,"7.31 ¿Su pago por Internet ha sido con…
 tarjeta de débito?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_31_2,"7.31 ¿Su pago por Internet ha sido con…
 tarjeta de crédito?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_31_3,"7.31 ¿Su pago por Internet ha sido con…
 transferencias bancarias?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_31_4,"7.31 ¿Su pago por Internet ha sido con…
 medios electrónicos como Paypal o Mercado pago?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_31_5,"7.31 ¿Su pago por Internet ha sido con…
 tarjeta de regalo o un vale de prepago en línea?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_31_6,"7.31 ¿Su pago por Internet ha sido con…
 mediante sistema de Cobro Digital (CoDi)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_31_7,"7.31 ¿Su pago por Internet ha sido con…
 Otro medio?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_31A,"7.31 ¿Su pago por Internet ha sido con… 
Otro medio Especifique",100,Varchar2 ,[A_Z],
P7_32,"7.32 En los últimos tres meses, ¿ha hecho uso de la Banca electrónica?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_33_1,"7.33 ¿Las operaciones que ha realizado en la Banca electrónica en los últimos tres meses son…
 consultas de saldo?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_33_2,"7.33 ¿Las operaciones que ha realizado en la Banca electrónica en los últimos tres meses son…
 transferencias?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_33_3,"7.33 ¿Las operaciones que ha realizado en la Banca electrónica en los últimos tres meses son…
 pago de servicios (luz, agua, etcétera)?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_33_4,"7.33 ¿Las operaciones que ha realizado en la Banca electrónica en los últimos tres meses son…
 compra de tiempo aire?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_33_5,"7.33 ¿Las operaciones que ha realizado en la Banca electrónica en los últimos tres meses son…
 Otras operaciones bancarias?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_33A,"7.33 ¿Las operaciones que ha realizado en la Banca electrónica en los últimos tres meses son…
Otras operaciones bancarias Especifique",100,Varchar2 ,[A-Z],
P7_34_1,"7.34 En los últimos 12 meses, ¿ha utilizado usted el Internet para…
 comunicarse con el gobierno?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_34_2,"7.34 En los últimos 12 meses, ¿ha utilizado usted el Internet para…
 consultar información del gobierno?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_34_3,"7.34 En los últimos 12 meses, ¿ha utilizado usted el Internet para…
 descargar formatos del gobierno?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_34_4,"7.34 En los últimos 12 meses, ¿ha utilizado usted el Internet para…
 realizar trámites del gobierno?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_34_5,"7.34 En los últimos 12 meses, ¿ha utilizado usted el Internet para…
 Otra interacción?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_34A,"7.34 En los últimos 12 meses, ¿ha utilizado usted el Internet para…
 Otra interacción Especifique",100,Varchar2 ,[A-Z],
P7_35_1,"7.35 En los últimos 12 meses por Internet, ¿ha realizado usted…
 declaración de impuestos?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_35_2,"7.35 En los últimos 12 meses por Internet, ¿ha realizado usted…
 gestión o solicitud de documentos personales como CURP, credencial de elector, cédula profesional, pasaporte, etcétera?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_35_3,"7.35 En los últimos 12 meses por Internet, ¿ha realizado usted…
 trámites de instituciones de educación pública como inscripciones, solicitud de historial académico, etcétera?",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_35_4,"7.35 En los últimos 12 meses por Internet, ¿ha realizado usted…
citas médicas en instituciones públicas (IMSS,ISSSTE, etc.)",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_35_5,"7.35 En los últimos 12 meses por Internet, ¿ha realizado usted…
Otros trámites",1,Varchar2 ,[1-2],"1 Sí, 2 No"
P7_35A,"7.35 En los últimos 12 meses por Internet, ¿ha realizado usted… 
Otros trámites Especifique",100,Varchar2 ,[A-Z],
P7_36,"7.36 En los últimos 12 meses, ¿con que frecuencia ha realizado las consultas o trámites de gobierno?",1,Varchar2 ,[1-5],"1 Mensualmente (1 o más veces al mes), 2 Bimestralmente, 3 Trimestralmente, 4 Semestralmente, 5 Anualmente"
ENT,Entidad ,2,Varchar2,[01-32],"01 Aguascalientes, 02 Baja California, 03 Baja California Sur, 04 Campeche, 05 Coahuila de Zaragoza, 06 Colimia, 07 Chiapas, 08 Chihuahua, 09 Ciudad de México, 10 Durango, 11 Guanajuato, 12 Guerrero, 13 Hidalgo, 14 Jalisco, 15 Estado de México, 16 Michoacán de Ocampo, 17 Morelos, 18 Nayarit, 19 Nuevo León, 20 Oaxaca, 21 Puebla, 22 Querétaro, 23 Quintana Roo, 24 San Luis Potosí, 25 Sinaloa, 26 Sonora, 27 Tabasco, 28 Tamaulipas, 29 Tlaxcala, 30 Veracruz de Ingancio de la Llave, 31 Yucatán, 32 Zacatecas"
